{601.7499107308564, 0.25, 0.7}	{595.8409360201838, 0.25, 0.71}	{590.1921873885567, 0.25, 0.72}	{584.8215571250763, 0.25, 0.73}	{579.7478292939415, 0.25, 0.74}	{574.9907314864006, 0.25, 0.75}	{570.5709903527185, 0.25, 0.76}	{566.5103912532518, 0.25, 0.7699999999999999}	{562.8318424041908, 0.25, 0.7799999999999999}	{559.5594439345786, 0.25, 0.7899999999999999}
{592.6535838187209, 0.26, 0.7}	{587.0341919119417, 0.26, 0.71}	{581.7158351940237, 0.26, 0.72}	{576.7188833143426, 0.26, 0.73}	{572.0647492099082, 0.26, 0.74}	{567.7759520176753, 0.26, 0.75}	{563.876184771838, 0.26, 0.76}	{560.3903873337, 0.26, 0.7699999999999999}	{557.3448250517963, 0.26, 0.7799999999999999}	{554.7671737068573, 0.26, 0.7899999999999999}
{584.3305906213498, 0.27, 0.7}	{579.0564973722499, 0.27, 0.71}	{574.1280475505962, 0.27, 0.72}	{569.5683608360742, 0.27, 0.73}	{565.4017740973231, 0.27, 0.74}	{561.6539176231216, 0.27, 0.75}	{558.3517973877832, 0.27, 0.76}	{555.5238839386755, 0.27, 0.7699999999999999}	{553.2002085627846, 0.27, 0.7799999999999999}	{551.4124674673974, 0.27, 0.7899999999999999}
{576.8015200773098, 0.28, 0.7}	{571.9307321723464, 0.28, 0.71}	{567.4542398145326, 0.28, 0.72}	{563.3982118378535, 0.28, 0.73}	{559.7902336063678, 0.28, 0.74}	{556.6593991120702, 0.28, 0.75}	{554.0364106558613, 0.28, 0.76}	{551.9536868812021, 0.28, 0.7699999999999999}	{550.445480023918, 0.28, 0.7799999999999999}	{549.5480033489451, 0.28, 0.7899999999999999}
{570.0877066207214, 0.29, 0.7}	{565.6806372765433, 0.29, 0.71}	{561.72082167593, 0.29, 0.72}	{558.2378060187508, 0.29, 0.73}	{555.2627812784646, 0.29, 0.74}	{552.8286941719183, 0.29, 0.75}	{550.9703676290554, 0.29, 0.76}	{549.7246317661003, 0.29, 0.7699999999999999}	{549.130466493373, 0.29, 0.7799999999999999}	{549.229157035531, 0.29, 0.7899999999999999}
{564.211266029871, 0.3, 0.7}	{560.3308579580481, 0.3, 0.71}	{556.9552489837497, 0.3, 0.72}	{554.1177228913737, 0.3, 0.73}	{551.8534693166996, 0.3, 0.74}	{550.1997171320293, 0.3, 0.75}	{549.1958796989729, 0.3, 0.76}	{548.8837132933147, 0.3, 0.7699999999999999}	{549.3074901792509, 0.3, 0.7799999999999999}	{550.5141880097256, 0.3, 0.7899999999999999}
{559.1951334564625, 0.31, 0.7}	{555.9069896484208, 0.31, 0.71}	{553.1860789954746, 0.31, 0.72}	{551.0698183318895, 0.31, 0.73}	{549.5978287230621, 0.31, 0.74}	{548.812095442625, 0.31, 0.75}	{548.7571427372169, 0.31, 0.76}	{549.4802250697026, 0.31, 0.7699999999999999}	{551.0315367645564, 0.31, 0.7799999999999999}	{553.4644422500681, 0.31, 0.7899999999999999}
{555.0631037971219, 0.32, 0.7}	{552.4356267320715, 0.32, 0.71}	{550.4430293276906, 0.32, 0.72}	{549.1272957789149, 0.32, 0.73}	{548.5329552736264, 0.32, 0.74}	{548.7072734836993, 0.32, 0.75}	{549.7004624400264, 0.32, 0.76}	{551.5659109772084, 0.32, 0.7699999999999999}	{554.3604382469656, 0.32, 0.7799999999999999}	{558.1445731659453, 0.32, 0.7899999999999999}
{551.8398745829891, 0.33, 0.7}	{549.944414516516, 0.33, 0.71}	{548.7570409102526, 0.33, 0.72}	{548.3247824781855, 0.33, 0.73}	{548.6976018520302, 0.33, 0.74}	{549.9286243861419, 0.33, 0.75}	{552.0743897704575, 0.33, 0.76}	{555.1951292701898, 0.33, 0.7699999999999999}	{559.355071831764, 0.33, 0.7799999999999999}	{564.6227827891755, 0.33, 0.7899999999999999}
{549.551091578841, 0.34, 0.7}	{548.4621046306654, 0.34, 0.71}	{548.1603452762064, 0.34, 0.72}	{548.6984112102691, 0.34, 0.73}	{550.1322777168625, 0.34, 0.74}	{552.5215706227763, 0.34, 0.75}	{555.9298674959509, 0.34, 0.76}	{560.4250307164662, 0.34, 0.7699999999999999}	{566.0795766110963, 0.34, 0.7799999999999999}	{572.971085509059, 0.34, 0.7899999999999999}
