{587.6070301066608, 0.35, 0.6}	{581.2314399345589, 0.35, 0.61}	{575.3014575500473, 0.35, 0.62}	{569.8494989235663, 0.35, 0.63}	{564.9098591613158, 0.35, 0.64}	{560.5188427923546, 0.35, 0.65}	{556.7149054662666, 0.35, 0.66}	{553.538808290934, 0.35, 0.6699999999999999}	{551.0337861988769, 0.35, 0.6799999999999999}	{549.2457319137702, 0.35, 0.69}
{581.5152710250269, 0.36, 0.6}	{575.4609576205537, 0.36, 0.61}	{569.8989045262773, 0.36, 0.62}	{564.8647484538864, 0.36, 0.63}	{560.3962367984856, 0.36, 0.64}	{556.5333781927096, 0.36, 0.65}	{553.3186066450662, 0.36, 0.66}	{550.7969607717735, 0.36, 0.6699999999999999}	{549.016279832688, 0.36, 0.6799999999999999}	{548.0274185149339, 0.36, 0.69}
{575.8788363135063, 0.37, 0.6}	{570.1844376399979, 0.37, 0.61}	{565.0320346010807, 0.37, 0.62}	{560.4607436974474, 0.37, 0.63}	{556.5120486783919, 0.37, 0.64}	{553.2299742083954, 0.37, 0.65}	{550.6612756721322, 0.37, 0.66}	{548.8556469659999, 0.37, 0.6699999999999999}	{547.8659483787687, 0.37, 0.6799999999999999}	{547.7484569594752, 0.37, 0.69}
{570.70660730865, 0.38, 0.6}	{565.411926678675, 0.38, 0.61}	{560.7122058932173, 0.38, 0.62}	{556.650318757848, 0.38, 0.63}	{553.2717904011466, 0.38, 0.64}	{550.6249972718392, 0.38, 0.65}	{548.7613862715124, 0.38, 0.66}	{547.7357152810805, 0.38, 0.6699999999999999}	{547.6063176597182, 0.38, 0.6799999999999999}	{548.4353936690414, 0.38, 0.69}
{566.007698224789, 0.38999999999999996, 0.6}	{561.1537469446199, 0.38999999999999996, 0.61}	{556.9511022413395, 0.38999999999999996, 0.62}	{553.4466925442632, 0.38999999999999996, 0.63}	{550.6904119248088, 0.38999999999999996, 0.64}	{548.7353500620047, 0.38999999999999996, 0.65}	{547.6380448563802, 0.38999999999999996, 0.66}	{547.4587604457034, 0.38999999999999996, 0.6699999999999999}	{548.2617937788815, 0.38999999999999996, 0.6799999999999999}	{550.1158133767076, 0.38999999999999996, 0.69}
{561.7914641862699, 0.39999999999999997, 0.6}	{557.420506122191, 0.39999999999999997, 0.61}	{553.7607455281209, 0.39999999999999997, 0.62}	{550.8634840179636, 0.39999999999999997, 0.63}	{548.7833364152045, 0.39999999999999997, 0.64}	{547.5784947977178, 0.39999999999999997, 0.65}	{547.3110193035801, 0.39999999999999997, 0.66}	{548.0471590486569, 0.39999999999999997, 0.6699999999999999}	{549.8577070121481, 0.39999999999999997, 0.6799999999999999}	{552.8183933413924, 0.39999999999999997, 0.69}
{558.0675096074553, 0.41, 0.6}	{554.2231077780151, 0.41, 0.61}	{551.1535085909276, 0.41, 0.62}	{548.9147281994939, 0.41, 0.63}	{547.5664800815358, 0.41, 0.64}	{547.1724778078865, 0.41, 0.65}	{547.8007693815922, 0.41, 0.66}	{549.5241072184064, 0.41, 0.6699999999999999}	{552.4203584715166, 0.41, 0.6799999999999999}	{556.5729611520239, 0.41, 0.69}
{554.8456969386989, 0.42, 0.6}	{551.5727622436266, 0.42, 0.61}	{549.1421287528852, 0.42, 0.62}	{547.6148929825367, 0.42, 0.63}	{547.0562730603895, 0.42, 0.64}	{547.535955463697, 0.42, 0.65}	{549.1284789475484, 0.42, 0.66}	{551.9136606004575, 0.42, 0.6699999999999999}	{555.9770697538225, 0.42, 0.6799999999999999}	{561.4105564115671, 0.42, 0.69}
{552.1361557976558, 0.43, 0.6}	{549.4809980013385, 0.43, 0.61}	{547.7397220104447, 0.43, 0.62}	{546.9788968038528, 0.43, 0.63}	{547.2696814154363, 0.43, 0.64}	{548.6882215645838, 0.43, 0.65}	{551.3160900384282, 0.43, 0.66}	{555.2407768031761, 0.43, 0.6699999999999999}	{560.5562358075301, 0.43, 0.6799999999999999}	{567.3634966187935, 0.43, 0.69}
{549.9492925064854, 0.44, 0.6}	{547.9596736014487, 0.44, 0.61}	{546.9597979161408, 0.44, 0.62}	{547.0221272221619, 0.44, 0.63}	{548.224230325278, 0.44, 0.64}	{550.6492362770888, 0.44, 0.65}	{554.3863389921205, 0.44, 0.66}	{559.5313604977883, 0.44, 0.6699999999999999}	{566.1873812719821, 0.44, 0.6799999999999999}	{574.4654475966487, 0.44, 0.69}
