{671.7655503151143, 0.25, 0.6}	{664.0730023760206, 0.25, 0.61}	{656.5015857606326, 0.25, 0.62}	{649.0624765737228, 0.25, 0.63}	{641.7673777681925, 0.25, 0.64}	{634.6285460666343, 0.25, 0.65}	{627.6588205918964, 0.25, 0.66}	{620.8716533389172, 0.25, 0.6699999999999999}	{614.2811416323485, 0.25, 0.6799999999999999}	{607.9020627279604, 0.25, 0.69}
{661.562914793389, 0.26, 0.6}	{653.861170505997, 0.26, 0.61}	{646.3030242032316, 0.26, 0.62}	{638.9010642665895, 0.26, 0.63}	{631.6684842340221, 0.26, 0.64}	{624.6191147522961, 0.26, 0.65}	{617.7674576293699, 0.26, 0.66}	{611.1287221552308, 0.26, 0.6699999999999999}	{604.7188638757877, 0.26, 0.6799999999999999}	{598.5546260222857, 0.26, 0.69}
{651.7380484703673, 0.27, 0.6}	{644.0560781749593, 0.27, 0.61}	{636.5421292422101, 0.27, 0.62}	{629.2103322639117, 0.27, 0.63}	{622.075510807697, 0.27, 0.64}	{615.1532192015735, 0.27, 0.65}	{608.4597828877601, 0.27, 0.66}	{602.0123415592508, 0.27, 0.6699999999999999}	{595.8288953136666, 0.27, 0.6799999999999999}	{589.9283540826473, 0.27, 0.69}
{642.2978802883317, 0.28, 0.6}	{634.6654799558254, 0.28, 0.61}	{627.2275709277015, 0.28, 0.62}	{619.9999652856474, 0.28, 0.63}	{612.9992664063188, 0.28, 0.64}	{606.2429134915988, 0.28, 0.65}	{599.7492292296595, 0.28, 0.66}	{593.5374708559963, 0.28, 0.6699999999999999}	{587.627884911227, 0.28, 0.6799999999999999}	{582.0417660234033, 0.28, 0.69}
{633.2495075330908, 0.29, 0.6}	{625.6973267418075, 0.29, 0.61}	{618.3682479525762, 0.29, 0.62}	{611.2799140093864, 0.29, 0.63}	{604.4508689542215, 0.29, 0.64}	{597.9006103431072, 0.29, 0.65}	{591.6496453630594, 0.29, 0.66}	{585.7195510878898, 0.29, 0.6699999999999999}	{580.1330392467803, 0.29, 0.6799999999999999}	{574.9140259198837, 0.29, 0.69}
{624.6002011902033, 0.3, 0.6}	{617.1597722637052, 0.3, 0.61}	{609.9732955694109, 0.3, 0.62}	{603.0604046728829, 0.3, 0.63}	{596.4417570133548, 0.3, 0.64}	{590.1390951884396, 0.3, 0.65}	{584.1753128374183, 0.3, 0.66}	{578.5745255457196, 0.3, 0.6699999999999999}	{573.3621472397799, 0.3, 0.6799999999999999}	{568.5649725938779, 0.3, 0.69}
{616.357411514631, 0.31, 0.6}	{609.0611798784374, 0.31, 0.61}	{602.0520938514395, 0.31, 0.62}	{595.3519491120244, 0.31, 0.63}	{588.9837019639989, 0.31, 0.64}	{582.9715409340071, 0.31, 0.65}	{577.3409639147692, 0.31, 0.66}	{572.1188613807861, 0.31, 0.6699999999999999}	{567.3336062630651, 0.31, 0.6799999999999999}	{563.0151511372317, 0.31, 0.69}
{608.5287738241677, 0.32, 0.6}	{601.410129642443, 0.32, 0.61}	{594.6142763156039, 0.32, 0.62}	{588.1653552581847, 0.32, 0.63}	{582.0888207673601, 0.32, 0.64}	{576.4115234587335, 0.32, 0.65}	{571.1618003705122, 0.32, 0.66}	{566.3695723900481, 0.32, 0.6699999999999999}	{562.0664497335321, 0.32, 0.6799999999999999}	{558.2858462970762, 0.32, 0.69}
{601.1221145274307, 0.33, 0.6}	{594.2154256844597, 0.33, 0.61}	{587.6697389268552, 0.33, 0.62}	{581.511738120413, 0.33, 0.63}	{575.7695893437527, 0.33, 0.64}	{570.4730378930325, 0.33, 0.65}	{565.6535132826849, 0.33, 0.66}	{561.3442430516816, 0.33, 0.6699999999999999}	{557.5803762830408, 0.33, 0.6799999999999999}	{554.3991178565236, 0.33, 0.69}
{594.1454573979815, 0.34, 0.6}	{587.4861038929628, 0.34, 0.61}	{581.2286495041828, 0.34, 0.62}	{575.402531279599, 0.34, 0.63}	{570.0388566023995, 0.34, 0.64}	{565.1705157260676, 0.34, 0.65}	{560.8323038728197, 0.34, 0.66}	{557.0610538944491, 0.34, 0.6699999999999999}	{553.8957806197184, 0.34, 0.6799999999999999}	{551.3778381561079, 0.34, 0.69}
