{598.1183412506357, 0.2, 0.8}	{593.0285125996252, 0.2, 0.81}	{588.1524163038674, 0.2, 0.8200000000000001}	{583.5037111468132, 0.2, 0.8300000000000001}	{579.0966849683834, 0.2, 0.8400000000000001}	{574.9462882691664, 0.2, 0.8500000000000001}	{571.0681700749348, 0.2, 0.8600000000000001}	{567.4787162483954, 0.2, 0.87}	{564.1950904534874, 0.2, 0.88}	{561.2352779982683, 0.2, 0.89}	{558.6181328055579, 0.2, 0.9}	{556.3634277863542, 0.2, 0.91}	{554.4919089201426, 0.2, 0.92}	{553.0253533788865, 0.2, 0.93}	{551.986632068285, 0.2, 0.9400000000000001}	{551.3997770014616, 0.2, 0.9500000000000001}	{551.2900539672349, 0.2, 0.9600000000000001}	{551.6840410083937, 0.2, 0.9700000000000001}	{552.6097132859679, 0.2, 0.9800000000000001}	{554.0965349743665, 0.2, 0.9900000000000001}
{587.1701881090416, 0.21000000000000002, 0.8}	{582.446224389505, 0.21000000000000002, 0.81}	{577.9792493473666, 0.21000000000000002, 0.8200000000000001}	{573.7853437693891, 0.21000000000000002, 0.8300000000000001}	{569.8813547252155, 0.21000000000000002, 0.8400000000000001}	{566.2849385418273, 0.21000000000000002, 0.8500000000000001}	{563.0146068213005, 0.21000000000000002, 0.8600000000000001}	{560.089775767191, 0.21000000000000002, 0.87}	{557.5308191125303, 0.21000000000000002, 0.88}	{555.3591249736834, 0.21000000000000002, 0.89}	{553.5971569893226, 0.21000000000000002, 0.9}	{552.2685201433438, 0.21000000000000002, 0.91}	{551.3980317152082, 0.21000000000000002, 0.92}	{551.011797851763, 0.21000000000000002, 0.93}	{551.13729631191, 0.21000000000000002, 0.9400000000000001}	{551.8034660007887, 0.21000000000000002, 0.9500000000000001}	{553.0408039843328, 0.21000000000000002, 0.9600000000000001}	{554.8814707600803, 0.21000000000000002, 0.9700000000000001}	{557.3594046572533, 0.21000000000000002, 0.9800000000000001}	{560.5104463507804, 0.21000000000000002, 0.9900000000000001}
{577.5093486891931, 0.22, 0.8}	{573.2343342017961, 0.22, 0.81}	{569.2647385684318, 0.22, 0.8200000000000001}	{565.6194082038694, 0.22, 0.8300000000000001}	{562.3181192735345, 0.22, 0.8400000000000001}	{559.3816323974011, 0.22, 0.8500000000000001}	{556.8317514293069, 0.22, 0.8600000000000001}	{554.6913866860825, 0.22, 0.87}	{552.9846230420636, 0.22, 0.88}	{551.7367933513863, 0.22, 0.89}	{550.9745577132003, 0.22, 0.9}	{550.7259891550577, 0.22, 0.91}	{551.0206663778386, 0.22, 0.92}	{551.8897742834632, 0.22, 0.93}	{553.3662130954486, 0.22, 0.9400000000000001}	{555.48471698422, 0.22, 0.9500000000000001}	{558.2819832260266, 0.22, 0.9600000000000001}	{561.7968130589827, 0.22, 0.9700000000000001}	{566.0702655553575, 0.22, 0.9800000000000001}	{571.1458260093332, 0.22, 0.9900000000000001}
{569.1814749488166, 0.23, 0.8}	{565.4430370015295, 0.23, 0.81}	{562.0640626621927, 0.23, 0.8200000000000001}	{559.0665514627187, 0.23, 0.8300000000000001}	{556.4736270987052, 0.23, 0.8400000000000001}	{554.3096067827591, 0.23, 0.8500000000000001}	{552.6000760298207, 0.23, 0.8600000000000001}	{551.3719693998835, 0.23, 0.87}	{550.6536577846203, 0.23, 0.88}	{550.4750428939223, 0.23, 0.89}	{550.867659677652, 0.23, 0.9}	{551.8647875084307, 0.23, 0.91}	{553.5015710550088, 0.23, 0.92}	{555.8151518948173, 0.23, 0.93}	{558.8448120515023, 0.23, 0.9400000000000001}	{562.6321308015102, 0.23, 0.9500000000000001}	{567.2211562772098, 0.23, 0.9600000000000001}	{572.658593607041, 0.23, 0.9700000000000001}	{578.994011581344, 0.23, 0.9800000000000001}	{586.2800701227563, 0.23, 0.9900000000000001}
{562.2344553975072, 0.24000000000000002, 0.8}	{559.125074818409, 0.24000000000000002, 0.81}	{556.4353003090678, 0.24000000000000002, 0.8200000000000001}	{554.1907217454375, 0.24000000000000002, 0.8300000000000001}	{552.4182840800892, 0.24000000000000002, 0.8400000000000001}	{551.146374957885, 0.24000000000000002, 0.8500000000000001}	{550.4049195423273, 0.24000000000000002, 0.8600000000000001}	{550.2254832865037, 0.24000000000000002, 0.87}	{550.6413834725713, 0.24000000000000002, 0.88}	{551.687810446741, 0.24000000000000002, 0.89}	{553.4019595949879, 0.24000000000000002, 0.9}	{555.823175240723, 0.24000000000000002, 0.91}	{558.9931078027205, 0.24000000000000002, 0.92}	{562.9558857331558, 0.24000000000000002, 0.93}	{567.7583039665984, 0.24000000000000002, 0.9400000000000001}	{573.4500308562028, 0.24000000000000002, 0.9500000000000001}	{580.0838358601595, 0.24000000000000002, 0.9600000000000001}	{587.7158405776458, 0.24000000000000002, 0.9700000000000001}	{596.4057961288818, 0.24000000000000002, 0.9800000000000001}	{606.2173903408507, 0.24000000000000002, 0.9900000000000001}
{556.7185623175237, 0.25, 0.8}	{554.3359106909804, 0.25, 0.81}	{552.4396356427433, 0.25, 0.8200000000000001}	{551.0594111018232, 0.25, 0.8300000000000001}	{550.2265400550132, 0.25, 0.8400000000000001}	{549.974064895019, 0.25, 0.8500000000000001}	{550.336887306669, 0.25, 0.8600000000000001}	{551.3518987123878, 0.25, 0.87}	{553.0581224301347, 0.25, 0.88}	{555.4968688489305, 0.25, 0.89}	{558.7119051029476, 0.25, 0.9}	{562.7496409286969, 0.25, 0.91}	{567.6593326268548, 0.25, 0.92}	{573.4933073265192, 0.25, 0.93}	{580.3072100730701, 0.25, 0.9400000000000001}	{588.1602766407598, 0.25, 0.9500000000000001}	{597.1156354188665, 0.25, 0.9600000000000001}	{607.2406422502302, 0.25, 0.9700000000000001}	{618.60725273057, 0.25, 0.9800000000000001}	{631.2924372282914, 0.25, 0.9900000000000001}
{552.6866113606361, 0.26, 0.8}	{551.1339178008591, 0.26, 0.81}	{550.1415823581203, 0.26, 0.8200000000000001}	{549.743920965825, 0.26, 0.8300000000000001}	{549.9772034435166, 0.26, 0.8400000000000001}	{550.8797921091227, 0.26, 0.8500000000000001}	{552.4922929700078, 0.26, 0.8600000000000001}	{554.857720908978, 0.26, 0.87}	{558.0216804740885, 0.26, 0.88}	{562.0325641046486, 0.26, 0.89}	{566.9417698861212, 0.26, 0.9}	{572.803941230821, 0.26, 0.91}	{579.6772312377439, 0.26, 0.92}	{587.6235949043446, 0.26, 0.93}	{596.7091128582631, 0.26, 0.9400000000000001}	{607.0043508640678, 0.26, 0.9500000000000001}	{618.5847600588259, 0.26, 0.9600000000000001}	{631.5311237056478, 0.26, 0.9700000000000001}	{645.9300572573849, 0.26, 0.9800000000000001}	{661.8745697329484, 0.26, 0.9900000000000001}
{550.194134799267, 0.27, 0.8}	{549.580585428659, 0.27, 0.81}	{549.6092285415461, 0.27, 0.8200000000000001}	{550.3196532175252, 0.27, 0.8300000000000001}	{551.7537873257111, 0.27, 0.8400000000000001}	{553.9560712495323, 0.27, 0.8500000000000001}	{556.973648158377, 0.27, 0.8600000000000001}	{560.8565727844639, 0.27, 0.87}	{565.6580409437881, 0.27, 0.88}	{571.4346423676926, 0.27, 0.89}	{578.2466397964914, 0.27, 0.9}	{586.1582777396056, 0.27, 0.91}	{595.2381248423408, 0.27, 0.92}	{605.5594544352671, 0.27, 0.93}	{617.2006685997667, 0.27, 0.9400000000000001}	{630.245771990302, 0.27, 0.9500000000000001}	{644.784902744628, 0.27, 0.9600000000000001}	{660.9149291308586, 0.27, 0.9700000000000001}	{678.740122180872, 0.27, 0.9800000000000001}	{698.3729165136718, 0.27, 0.9900000000000001}
{549.2995698678903, 0.28, 0.8}	{549.7407435727533, 0.28, 0.81}	{550.9145045841293, 0.28, 0.8200000000000001}	{552.8664298007279, 0.28, 0.8300000000000001}	{555.6448908553981, 0.28, 0.8400000000000001}	{559.3012714368327, 0.28, 0.8500000000000001}	{563.8902063323269, 0.28, 0.8600000000000001}	{569.4698448935833, 0.28, 0.87}	{576.1021420346426, 0.28, 0.88}	{583.853180350686, 0.28, 0.89}	{592.793527514082, 0.28, 0.9}	{602.9986337781113, 0.28, 0.91}	{614.5492752228017, 0.28, 0.92}	{627.5320493405604, 0.28, 0.93}	{642.0399307184057, 0.28, 0.9400000000000001}	{658.1728959755815, 0.28, 0.9500000000000001}	{676.0386288193629, 0.28, 0.9600000000000001}	{695.7533181647339, 0.28, 0.9700000000000001}	{717.4425648237009, 0.28, 0.9800000000000001}	{741.2424154362454, 0.28, 0.9900000000000001}
{550.0644638110266, 0.29000000000000004, 0.8}	{551.6828083130597, 0.29000000000000004, 0.81}	{554.1334768609217, 0.29000000000000004, 0.8200000000000001}	{557.468844354099, 0.29000000000000004, 0.8300000000000001}	{561.7446204691128, 0.29000000000000004, 0.8400000000000001}	{567.0201210988838, 0.29000000000000004, 0.8500000000000001}	{573.358568257352, 0.29000000000000004, 0.8600000000000001}	{580.8274221704108, 0.29000000000000004, 0.87}	{589.498749864242, 0.29000000000000004, 0.88}	{599.4496352628955, 0.29000000000000004, 0.89}	{610.7626366432194, 0.29000000000000004, 0.9}	{623.5262982973304, 0.29000000000000004, 0.91}	{637.8357244591577, 0.29000000000000004, 0.92}	{653.793225011176, 0.29000000000000004, 0.93}	{671.5090442620528, 0.29000000000000004, 0.9400000000000001}	{691.1021862558647, 0.29000000000000004, 0.9500000000000001}	{712.7013527415402, 0.29000000000000004, 0.9600000000000001}	{736.4460132321669, 0.29000000000000004, 0.9700000000000001}	{762.4876306938008, 0.29000000000000004, 0.9800000000000001}	{790.9910715566693, 0.29000000000000004, 0.9900000000000001}
