{1032.254689217381, 0., 0.5}	{1032.254689217381, 0., 0.51}	{1032.254689217381, 0., 0.52}	{1032.254689217381, 0., 0.53}	{1032.254689217381, 0., 0.54}	{1032.254689217381, 0., 0.55}	{1032.254689217381, 0., 0.56}	{1032.254689217381, 0., 0.57}	{1032.254689217381, 0., 0.58}	{1032.254689217381, 0., 0.59}	{1032.254689217381, 0., 0.6}	{1032.254689217381, 0., 0.61}	{1032.254689217381, 0., 0.62}	{1032.254689217381, 0., 0.63}	{1032.254689217381, 0., 0.64}	{1032.254689217381, 0., 0.65}	{1032.254689217381, 0., 0.66}	{1032.254689217381, 0., 0.67}	{1032.254689217381, 0., 0.68}	{1032.254689217381, 0., 0.6900000000000001}
{1019.3975788466851, 0.01, 0.5}	{1018.9311108254944, 0.01, 0.51}	{1018.458592218595, 0.01, 0.52}	{1017.9799886716557, 0.01, 0.53}	{1017.4952659863899, 0.01, 0.54}	{1017.0043901228714, 0.01, 0.55}	{1016.5073272018028, 0.01, 0.56}	{1016.0040435068724, 0.01, 0.57}	{1015.4945054870749, 0.01, 0.58}	{1014.9786797591029, 0.01, 0.59}	{1014.4565331097356, 0.01, 0.6}	{1013.9280324982522, 0.01, 0.61}	{1013.3931450588791, 0.01, 0.62}	{1012.8518381032595, 0.01, 0.63}	{1012.3040791229408, 0.01, 0.64}	{1011.7498357918896, 0.01, 0.65}	{1011.1890759690385, 0.01, 0.66}	{1010.6217677008372, 0.01, 0.67}	{1010.0478792238622, 0.01, 0.68}	{1009.467378967412, 0.01, 0.6900000000000001}
{1006.6697562925439, 0.02, 0.5}	{1005.7462754908729, 0.02, 0.51}	{1004.8111661466891, 0.02, 0.52}	{1003.8643747609016, 0.02, 0.53}	{1002.9058484955453, 0.02, 0.54}	{1001.9355351843553, 0.02, 0.55}	{1000.9533833434962, 0.02, 0.56}	{999.9593421823826, 0.02, 0.57}	{998.9533616146978, 0.02, 0.58}	{997.935392269514, 0.02, 0.59}	{996.9053855025674, 0.02, 0.6}	{995.8632934076753, 0.02, 0.61}	{994.8090688283143, 0.02, 0.62}	{993.7426653693416, 0.02, 0.63}	{992.6640374088505, 0.02, 0.64}	{991.5731401102175, 0.02, 0.65}	{990.4699294342801, 0.02, 0.66}	{989.354362151683, 0.02, 0.67}	{988.2263958553852, 0.02, 0.68}	{987.0859889733285, 0.02, 0.6900000000000001}
{994.0726698714712, 0.03, 0.5}	{992.7018008386224, 0.03, 0.51}	{991.3142136513077, 0.03, 0.52}	{989.9098519877864, 0.03, 0.53}	{988.4886611003705, 0.03, 0.54}	{987.0505878427934, 0.03, 0.55}	{985.5955806979232, 0.03, 0.56}	{984.1235898059831, 0.03, 0.57}	{982.6345669931663, 0.03, 0.58}	{981.1284658007202, 0.03, 0.59}	{979.6052415144661, 0.03, 0.6}	{978.0648511948082, 0.03, 0.61}	{976.5072537071869, 0.03, 0.62}	{974.9324097530359, 0.03, 0.63}	{973.3402819012236, 0.03, 0.64}	{971.7308346199907, 0.03, 0.65}	{970.1040343094076, 0.03, 0.66}	{968.4598493343493, 0.03, 0.67}	{966.798250057986, 0.03, 0.68}	{965.1192088758489, 0.03, 0.6900000000000001}
{981.6077883628423, 0.04, 0.5}	{979.7993283060564, 0.04, 0.51}	{977.9695650074576, 0.04, 0.52}	{976.11845681061, 0.04, 0.53}	{974.2459650177684, 0.04, 0.54}	{972.3520539452891, 0.04, 0.55}	{970.4366909799929, 0.04, 0.56}	{968.4998466365433, 0.04, 0.57}	{966.5414946158786, 0.04, 0.58}	{964.5616118646711, 0.04, 0.59}	{962.5601786359048, 0.04, 0.6}	{960.5371785505296, 0.04, 0.61}	{958.4925986602593, 0.04, 0.62}	{956.426429511523, 0.04, 0.63}	{954.338665210598, 0.04, 0.64}	{952.2293034899644, 0.04, 0.65}	{950.0983457758682, 0.04, 0.66}	{947.9457972571745, 0.04, 0.67}	{945.7716669555111, 0.04, 0.68}	{943.5759677967204, 0.04, 0.6900000000000001}
{969.2766013804301, 0.05, 0.5}	{967.0405235934716, 0.05, 0.51}	{964.7790786604105, 0.05, 0.52}	{962.4922582995566, 0.05, 0.53}	{960.1800591134711, 0.05, 0.54}	{957.842482686914, 0.05, 0.55}	{955.4795356867534, 0.05, 0.56}	{953.09122996394, 0.05, 0.57}	{950.6775826574913, 0.05, 0.58}	{948.2386163006762, 0.05, 0.59}	{945.7743589293241, 0.05, 0.6}	{943.2848441924077, 0.05, 0.61}	{940.7701114648906, 0.05, 0.62}	{938.2302059629494, 0.05, 0.63}	{935.6651788615752, 0.05, 0.64}	{933.0750874147068, 0.05, 0.65}	{930.459995077813, 0.05, 0.66}	{927.8199716331635, 0.05, 0.67}	{925.1550933177198, 0.05, 0.68}	{922.4654429537692, 0.05, 0.6900000000000001}
{957.080619752273, 0.06, 0.5}	{954.4270771255676, 0.06, 0.51}	{951.7446417839045, 0.06, 0.52}	{949.0333588095881, 0.06, 0.53}	{946.2932807104261, 0.06, 0.54}	{943.5244675784845, 0.06, 0.55}	{940.7269872523359, 0.06, 0.56}	{937.9009154829948, 0.06, 0.57}	{935.0463361035811, 0.06, 0.58}	{932.1633412028012, 0.06, 0.59}	{929.2520313024278, 0.06, 0.6}	{926.3125155388134, 0.06, 0.61}	{923.3449118485861, 0.06, 0.62}	{920.3493471586439, 0.06, 0.63}	{917.3259575805564, 0.06, 0.64}	{914.2748886095192, 0.06, 0.65}	{911.1962953279585, 0.06, 0.66}	{908.0903426139585, 0.06, 0.67}	{904.9572053546217, 0.06, 0.68}	{901.7970686645156, 0.06, 0.6900000000000001}
{945.0213759091578, 0.07, 0.5}	{941.9607045236708, 0.07, 0.51}	{938.8681708521117, 0.07, 0.52}	{935.7438946706104, 0.07, 0.53}	{932.5880064186864, 0.07, 0.54}	{929.4006474411897, 0.07, 0.55}	{926.1819702361436, 0.07, 0.56}	{922.9321387086425, 0.07, 0.57}	{919.6513284310467, 0.07, 0.58}	{916.3397269095908, 0.07, 0.59}	{912.9975338576689, 0.07, 0.6}	{909.6249614759242, 0.07, 0.61}	{906.2222347394389, 0.07, 0.62}	{902.7895916921618, 0.07, 0.63}	{899.3272837488402, 0.07, 0.64}	{895.8355760046899, 0.07, 0.65}	{892.314747553007, 0.07, 0.66}	{888.7650918110326, 0.07, 0.67}	{885.1869168542477, 0.07, 0.68}	{881.5805457594697, 0.07, 0.6900000000000001}
{933.1004242818917, 0.08, 0.5}	{929.6431470891857, 0.08, 0.51}	{926.1516122256795, 0.08, 0.52}	{922.6260368953912, 0.08, 0.53}	{919.0666529875596, 0.08, 0.54}	{915.4737074289732, 0.08, 0.55}	{911.8474625455759, 0.08, 0.56}	{908.1881964336897, 0.08, 0.57}	{904.4962033411007, 0.08, 0.58}	{900.7717940584151, 0.08, 0.59}	{897.0152963209393, 0.08, 0.6}	{893.2270552214792, 0.08, 0.61}	{889.4074336344032, 0.08, 0.62}	{885.5568126513253, 0.08, 0.63}	{881.6755920288412, 0.08, 0.64}	{877.7641906486613, 0.08, 0.65}	{873.8230469906215, 0.08, 0.66}	{869.8526196189443, 0.08, 0.67}	{865.8533876822595, 0.08, 0.68}	{861.8258514278095, 0.08, 0.6900000000000001}
{921.3193417076261, 0.09, 0.5}	{917.4761722985189, 0.09, 0.51}	{913.5969427523435, 0.09, 0.52}	{909.6819919057834, 0.09, 0.53}	{905.731678180726, 0.09, 0.54}	{901.7463800795464, 0.09, 0.55}	{897.7264966943674, 0.09, 0.56}	{893.672448230833, 0.09, 0.57}	{889.5846765468807, 0.09, 0.58}	{885.4636457070264, 0.09, 0.59}	{881.3098425527357, 0.09, 0.6}	{877.1237772893917, 0.09, 0.61}	{872.9059840905109, 0.09, 0.62}	{868.6570217197653, 0.09, 0.63}	{864.3774741714924, 0.09, 0.64}	{860.0679513303033, 0.09, 0.65}	{855.7290896505567, 0.09, 0.66}	{851.3615528563439, 0.09, 0.67}	{846.9660326627809, 0.09, 0.68}	{842.5432495193974, 0.09, 0.6900000000000001}
